,PubChem_pattern,SMARTS,images
32,C-As,[#6]~[#33],../data/pubchemfp_pattern_images/32.png
33,C-Se,[#6]~[#34],../data/pubchemfp_pattern_images/33.png
34,C-Br,[#6]~[#35],../data/pubchemfp_pattern_images/34.png
35,C-I,[#6]~I,../data/pubchemfp_pattern_images/35.png
36,N-H,[#7]~[#1],../data/pubchemfp_pattern_images/36.png
37,N-N,[#7]~[#7],../data/pubchemfp_pattern_images/37.png
38,N-O,[#7]~[#8],../data/pubchemfp_pattern_images/38.png
39,N-F,[#7]~F,../data/pubchemfp_pattern_images/39.png
40,N-Si,[#7]~[#14],../data/pubchemfp_pattern_images/40.png
41,N-P,[#7]~P,../data/pubchemfp_pattern_images/41.png
42,N-S,[#7]~S,../data/pubchemfp_pattern_images/42.png
43,N-Cl,[#7]~[#17],../data/pubchemfp_pattern_images/43.png
44,N-Br,[#7]~[#35],../data/pubchemfp_pattern_images/44.png
45,O-H,[#8]~[#1],../data/pubchemfp_pattern_images/45.png
46,O-O,[#8]~[#8],../data/pubchemfp_pattern_images/46.png
47,O-Mg,[#8]~[#12],../data/pubchemfp_pattern_images/47.png
48,O-Na,[#8]~[#11],../data/pubchemfp_pattern_images/48.png
49,O-Al,[#8]~[#13],../data/pubchemfp_pattern_images/49.png
50,O-Si,[#8]~[#14],../data/pubchemfp_pattern_images/50.png
51,O-P,[#8]~P,../data/pubchemfp_pattern_images/51.png
52,O-K,[#8]~[#19],../data/pubchemfp_pattern_images/52.png
53,F-P,F~P,../data/pubchemfp_pattern_images/53.png
54,F-S,F~S,../data/pubchemfp_pattern_images/54.png
55,Al-H,[#13]~[#1],../data/pubchemfp_pattern_images/55.png
56,Al-Cl,[#13]~[#17],../data/pubchemfp_pattern_images/56.png
57,Si-H,[#14]~[#1],../data/pubchemfp_pattern_images/57.png
58,Si-Si,[#14]~[#14],../data/pubchemfp_pattern_images/58.png
59,Si-Cl,[#14]~[#17],../data/pubchemfp_pattern_images/59.png
60,P-H,P~[#1],../data/pubchemfp_pattern_images/60.png
61,P-P,P~P,../data/pubchemfp_pattern_images/61.png
62,As-H,[#33]~[#1],../data/pubchemfp_pattern_images/62.png
63,As-As,[#33]~[#33],../data/pubchemfp_pattern_images/63.png
64,C(~Br)(~C),[#6](~[#35])(~[#6]),../data/pubchemfp_pattern_images/64.png
65,C(~Br)(~C)(~C),[#6](~[#35])(~[#6])(~[#6]),../data/pubchemfp_pattern_images/65.png
66,C(~Br)(~H),[#6](~[#35])(~[#1]),../data/pubchemfp_pattern_images/66.png
67,C(~Br)(:C),[#6](~[#35])(:[#6]),../data/pubchemfp_pattern_images/67.png
68,C(~Br)(:N),[#6](~[#35])(:[#7]),../data/pubchemfp_pattern_images/68.png
69,C(~C)(~C),[#6](~[#6])(~[#6]),../data/pubchemfp_pattern_images/69.png
70,C(~C)(~C)(~C),[#6](~[#6])(~[#6])(~[#6]),../data/pubchemfp_pattern_images/70.png
71,C(~C)(~C)(~C)(~C),[#6](~[#6])(~[#6])(~[#6])(~[#6]),../data/pubchemfp_pattern_images/71.png
72,C(~C)(~C)(~C)(~H),[#6](~[#6])(~[#6])(~[#6])(~[#1]),../data/pubchemfp_pattern_images/72.png
73,C(~C)(~C)(~C)(~N),[#6](~[#6])(~[#6])(~[#6])(~[#7]),../data/pubchemfp_pattern_images/73.png
74,C(~C)(~C)(~C)(~O),[#6](~[#6])(~[#6])(~[#6])(~[#8]),../data/pubchemfp_pattern_images/74.png
75,C(~C)(~C)(~H)(~N),[#6](~[#6])(~[#6])(~[#1])(~[#7]),../data/pubchemfp_pattern_images/75.png
76,C(~C)(~C)(~H)(~O),[#6](~[#6])(~[#6])(~[#1])(~[#8]),../data/pubchemfp_pattern_images/76.png
77,C(~C)(~C)(~N),[#6](~[#6])(~[#6])(~[#7]),../data/pubchemfp_pattern_images/77.png
78,C(~C)(~C)(~O),[#6](~[#6])(~[#6])(~[#8]),../data/pubchemfp_pattern_images/78.png
79,C(~C)(~Cl),[#6](~[#6])(~[#17]),../data/pubchemfp_pattern_images/79.png
80,C(~C)(~Cl)(~H),[#6](~[#6])(~[#17])(~[#1]),../data/pubchemfp_pattern_images/80.png
81,C(~C)(~H),[#6](~[#6])(~[#1]),../data/pubchemfp_pattern_images/81.png
82,C(~C)(~H)(~N),[#6](~[#6])(~[#1])(~[#7]),../data/pubchemfp_pattern_images/82.png
83,C(~C)(~H)(~O),[#6](~[#6])(~[#1])(~[#8]),../data/pubchemfp_pattern_images/83.png
84,C(~C)(~H)(~O)(~O),[#6](~[#6])(~[#1])(~[#8])(~[#8]),../data/pubchemfp_pattern_images/84.png
85,C(~C)(~H)(~P),[#6](~[#6])(~[#1])(~P),../data/pubchemfp_pattern_images/85.png
86,C(~C)(~H)(~S),[#6](~[#6])(~[#1])(~S),../data/pubchemfp_pattern_images/86.png
87,C(~C)(~I),[#6](~[#6])(~I),../data/pubchemfp_pattern_images/87.png
88,C(~C)(~N),[#6](~[#6])(~[#7]),../data/pubchemfp_pattern_images/88.png
89,C(~C)(~O),[#6](~[#6])(~[#8]),../data/pubchemfp_pattern_images/89.png
90,C(~C)(~S),[#6](~[#6])(~S),../data/pubchemfp_pattern_images/90.png
91,C(~C)(~Si),[#6](~[#6])(~[#14]),../data/pubchemfp_pattern_images/91.png
92,C(~C)(:C),[#6](~[#6])(:[#6]),../data/pubchemfp_pattern_images/92.png
93,C(~C)(:C)(:C),[#6](~[#6])(:[#6])(:[#6]),../data/pubchemfp_pattern_images/93.png
94,C(~C)(:C)(:N),[#6](~[#6])(:[#6])(:[#7]),../data/pubchemfp_pattern_images/94.png
95,C(~C)(:N),[#6](~[#6])(:[#7]),../data/pubchemfp_pattern_images/95.png
96,C(~C)(:N)(:N),[#6](~[#6])(:[#7])(:[#7]),../data/pubchemfp_pattern_images/96.png
97,C(~Cl)(~Cl),[#6](~[#17])(~[#17]),../data/pubchemfp_pattern_images/97.png
98,C(~Cl)(~H),[#6](~[#17])(~[#1]),../data/pubchemfp_pattern_images/98.png
99,C(~Cl)(:C),[#6](~[#17])(:[#6]),../data/pubchemfp_pattern_images/99.png
100,C(~F)(~F),[#6](~F)(~F),../data/pubchemfp_pattern_images/100.png
101,C(~F)(:C),[#6](~F)(:[#6]),../data/pubchemfp_pattern_images/101.png
102,C(~H)(~N),[#6](~[#1])(~[#7]),../data/pubchemfp_pattern_images/102.png
103,C(~H)(~O),[#6](~[#1])(~[#8]),../data/pubchemfp_pattern_images/103.png
104,C(~H)(~O)(~O),[#6](~[#1])(~[#8])(~[#8]),../data/pubchemfp_pattern_images/104.png
105,C(~H)(~S),[#6](~[#1])(~S),../data/pubchemfp_pattern_images/105.png
106,C(~H)(~Si),[#6](~[#1])(~[#14]),../data/pubchemfp_pattern_images/106.png
107,C(~H)(:C),[#6](~[#1])(:[#6]),../data/pubchemfp_pattern_images/107.png
108,C(~H)(:C)(:C),[#6](~[#1])(:[#6])(:[#6]),../data/pubchemfp_pattern_images/108.png
109,C(~H)(:C)(:N),[#6](~[#1])(:[#6])(:[#7]),../data/pubchemfp_pattern_images/109.png
110,C(~H)(:N),[#6](~[#1])(:[#7]),../data/pubchemfp_pattern_images/110.png
111,C(~H)(~H)(~H),[#6](~[#1])(~[#1])(~[#1]),../data/pubchemfp_pattern_images/111.png
112,C(~N)(~N),[#6](~[#7])(~[#7]),../data/pubchemfp_pattern_images/112.png
113,C(~N)(:C),[#6](~[#7])(:[#6]),../data/pubchemfp_pattern_images/113.png
114,C(~N)(:C)(:C),[#6](~[#7])(:[#6])(:[#6]),../data/pubchemfp_pattern_images/114.png
115,C(~N)(:C)(:N),[#6](~[#7])(:[#6])(:[#7]),../data/pubchemfp_pattern_images/115.png
116,C(~N)(:N),[#6](~[#7])(:[#7]),../data/pubchemfp_pattern_images/116.png
117,C(~O)(~O),[#6](~[#8])(~[#8]),../data/pubchemfp_pattern_images/117.png
118,C(~O)(:C),[#6](~[#8])(:[#6]),../data/pubchemfp_pattern_images/118.png
119,C(~O)(:C)(:C),[#6](~[#8])(:[#6])(:[#6]),../data/pubchemfp_pattern_images/119.png
120,C(~S)(:C),[#6](~S)(:[#6]),../data/pubchemfp_pattern_images/120.png
121,C(:C)(:C),[#6](:[#6])(:[#6]),../data/pubchemfp_pattern_images/121.png
122,C(:C)(:C)(:C),[#6](:[#6])(:[#6])(:[#6]),../data/pubchemfp_pattern_images/122.png
123,C(:C)(:C)(:N),[#6](:[#6])(:[#6])(:[#7]),../data/pubchemfp_pattern_images/123.png
124,C(:C)(:N),[#6](:[#6])(:[#7]),../data/pubchemfp_pattern_images/124.png
125,C(:C)(:N)(:N),[#6](:[#6])(:[#7])(:[#7]),../data/pubchemfp_pattern_images/125.png
126,C(:N)(:N),[#6](:[#7])(:[#7]),../data/pubchemfp_pattern_images/126.png
127,N(~C)(~C),[#7](~[#6])(~[#6]),../data/pubchemfp_pattern_images/127.png
128,N(~C)(~C)(~C),[#7](~[#6])(~[#6])(~[#6]),../data/pubchemfp_pattern_images/128.png
129,N(~C)(~C)(~H),[#7](~[#6])(~[#6])(~[#1]),../data/pubchemfp_pattern_images/129.png
130,N(~C)(~H),[#7](~[#6])(~[#1]),../data/pubchemfp_pattern_images/130.png
131,N(~C)(~H)(~N),[#7](~[#6])(~[#1])(~[#7]),../data/pubchemfp_pattern_images/131.png
132,N(~C)(~O),[#7](~[#6])(~[#8]),../data/pubchemfp_pattern_images/132.png
133,N(~C)(:C),[#7](~[#6])(:[#6]),../data/pubchemfp_pattern_images/133.png
134,N(~C)(:C)(:C),[#7](~[#6])(:[#6])(:[#6]),../data/pubchemfp_pattern_images/134.png
135,N(~H)(~N),[#7](~[#1])(~[#7]),../data/pubchemfp_pattern_images/135.png
136,N(~H)(:C),[#7](~[#1])(:[#6]),../data/pubchemfp_pattern_images/136.png
137,N(~H)(:C)(:C),[#7](~[#1])(:[#6])(:[#6]),../data/pubchemfp_pattern_images/137.png
138,N(~O)(~O),[#7](~[#8])(~[#8]),../data/pubchemfp_pattern_images/138.png
139,N(~O)(:O),[#7](~[#8])(:[#8]),../data/pubchemfp_pattern_images/139.png
140,N(:C)(:C),[#7](:[#6])(:[#6]),../data/pubchemfp_pattern_images/140.png
141,N(:C)(:C)(:C),[#7](:[#6])(:[#6])(:[#6]),../data/pubchemfp_pattern_images/141.png
142,O(~C)(~C),[#8](~[#6])(~[#6]),../data/pubchemfp_pattern_images/142.png
143,O(~C)(~H),[#8](~[#6])(~[#1]),../data/pubchemfp_pattern_images/143.png
144,O(~C)(~P),[#8](~[#6])(~P),../data/pubchemfp_pattern_images/144.png
145,O(~H)(~S),[#8](~[#1])(~S),../data/pubchemfp_pattern_images/145.png
146,O(:C)(:C),[#8](:[#6])(:[#6]),../data/pubchemfp_pattern_images/146.png
147,P(~C)(~C),P(~[#6])(~[#6]),../data/pubchemfp_pattern_images/147.png
148,P(~O)(~O),P(~[#8])(~[#8]),../data/pubchemfp_pattern_images/148.png
149,S(~C)(~C),S(~[#6])(~[#6]),../data/pubchemfp_pattern_images/149.png
150,S(~C)(~H),S(~[#6])(~[#1]),../data/pubchemfp_pattern_images/150.png
151,S(~C)(~O),S(~[#6])(~[#8]),../data/pubchemfp_pattern_images/151.png
152,Si(~C)(~C),[#14](~[#6])(~[#6]),../data/pubchemfp_pattern_images/152.png
153,C=C,"[#6]=,:[#6]",../data/pubchemfp_pattern_images/153.png
154,C#C,[#6]#[#6],../data/pubchemfp_pattern_images/154.png
155,C=N,"[#6]=,:[#7]",../data/pubchemfp_pattern_images/155.png
156,C#N,[#6]#[#7],../data/pubchemfp_pattern_images/156.png
157,C=O,"[#6]=,:[#8]",../data/pubchemfp_pattern_images/157.png
158,C=S,"[#6]=,:S",../data/pubchemfp_pattern_images/158.png
159,N=N,"[#7]=,:[#7]",../data/pubchemfp_pattern_images/159.png
160,N=O,"[#7]=,:[#8]",../data/pubchemfp_pattern_images/160.png
161,N=P,"[#7]=,:P",../data/pubchemfp_pattern_images/161.png
162,P=O,"P=,:[#8]",../data/pubchemfp_pattern_images/162.png
163,P=P,"P=,:P",../data/pubchemfp_pattern_images/163.png
164,C(#C)(-C),"[#6](#[#6])(-,:[#6])",../data/pubchemfp_pattern_images/164.png
165,C(#C)(-H),"[#6](#[#6])(-,:[#1])",../data/pubchemfp_pattern_images/165.png
166,C(#N)(-C),"[#6](#[#7])(-,:[#6])",../data/pubchemfp_pattern_images/166.png
167,C(-C)(-C)(=C),"[#6](-,:[#6])(-,:[#6])(=,:[#6])",../data/pubchemfp_pattern_images/167.png
168,C(-C)(-C)(=N),"[#6](-,:[#6])(-,:[#6])(=,:[#7])",../data/pubchemfp_pattern_images/168.png
169,C(-C)(-C)(=O),"[#6](-,:[#6])(-,:[#6])(=,:[#8])",../data/pubchemfp_pattern_images/169.png
170,C(-C)(-Cl)(=O),"[#6](-,:[#6])(-,:[#17])(=,:[#8])",../data/pubchemfp_pattern_images/170.png
171,C(-C)(-H)(=C),"[#6](-,:[#6])(-,:[#1])(=,:[#6])",../data/pubchemfp_pattern_images/171.png
172,C(-C)(-H)(=N),"[#6](-,:[#6])(-,:[#1])(=,:[#7])",../data/pubchemfp_pattern_images/172.png
173,C(-C)(-H)(=O),"[#6](-,:[#6])(-,:[#1])(=,:[#8])",../data/pubchemfp_pattern_images/173.png
174,C(-C)(-N)(=C),"[#6](-,:[#6])(-,:[#7])(=,:[#6])",../data/pubchemfp_pattern_images/174.png
175,C(-C)(-N)(=N),"[#6](-,:[#6])(-,:[#7])(=,:[#7])",../data/pubchemfp_pattern_images/175.png
176,C(-C)(-N)(=O),"[#6](-,:[#6])(-,:[#7])(=,:[#8])",../data/pubchemfp_pattern_images/176.png
177,C(-C)(-O)(=O),"[#6](-,:[#6])(-,:[#8])(=,:[#8])",../data/pubchemfp_pattern_images/177.png
178,C(-C)(=C),"[#6](-,:[#6])(=,:[#6])",../data/pubchemfp_pattern_images/178.png
179,C(-C)(=N),"[#6](-,:[#6])(=,:[#7])",../data/pubchemfp_pattern_images/179.png
180,C(-C)(=O),"[#6](-,:[#6])(=,:[#8])",../data/pubchemfp_pattern_images/180.png
181,C(-Cl)(=O),"[#6](-,:[#17])(=,:[#8])",../data/pubchemfp_pattern_images/181.png
182,C(-H)(-N)(=C),"[#6](-,:[#1])(-,:[#7])(=,:[#6])",../data/pubchemfp_pattern_images/182.png
183,C(-H)(=C),"[#6](-,:[#1])(=,:[#6])",../data/pubchemfp_pattern_images/183.png
184,C(-H)(=N),"[#6](-,:[#1])(=,:[#7])",../data/pubchemfp_pattern_images/184.png
185,C(-H)(=O),"[#6](-,:[#1])(=,:[#8])",../data/pubchemfp_pattern_images/185.png
186,C(-N)(=C),"[#6](-,:[#7])(=,:[#6])",../data/pubchemfp_pattern_images/186.png
187,C(-N)(=N),"[#6](-,:[#7])(=,:[#7])",../data/pubchemfp_pattern_images/187.png
188,C(-N)(=O),"[#6](-,:[#7])(=,:[#8])",../data/pubchemfp_pattern_images/188.png
189,C(-O)(=O),"[#6](-,:[#8])(=,:[#8])",../data/pubchemfp_pattern_images/189.png
190,N(-C)(=C),"[#7](-,:[#6])(=,:[#6])",../data/pubchemfp_pattern_images/190.png
191,N(-C)(=O),"[#7](-,:[#6])(=,:[#8])",../data/pubchemfp_pattern_images/191.png
192,N(-O)(=O),"[#7](-,:[#8])(=,:[#8])",../data/pubchemfp_pattern_images/192.png
193,P(-O)(=O),"P(-,:[#8])(=,:[#8])",../data/pubchemfp_pattern_images/193.png
194,S(-C)(=O),"S(-,:[#6])(=,:[#8])",../data/pubchemfp_pattern_images/194.png
195,S(-O)(=O),"S(-,:[#8])(=,:[#8])",../data/pubchemfp_pattern_images/195.png
196,S(=O)(=O),"S(=,:[#8])(=,:[#8])",../data/pubchemfp_pattern_images/196.png
197,C-C-C#C,"[#6]-,:[#6]-,:[#6]#[#6]",../data/pubchemfp_pattern_images/197.png
198,O-C-C=N,"[#8]-,:[#6]-,:[#6]=,:[#7]",../data/pubchemfp_pattern_images/198.png
199,O-C-C=O,"[#8]-,:[#6]-,:[#6]=,:[#8]",../data/pubchemfp_pattern_images/199.png
200,N:C-S-[#1],"[#7]:[#6]-,:S-,:[#1]",../data/pubchemfp_pattern_images/200.png
201,N-C-C=C,"[#7]-,:[#6]-,:[#6]=,:[#6]",../data/pubchemfp_pattern_images/201.png
202,O=S-C-C,"[#8]=,:S-,:[#6]-,:[#6]",../data/pubchemfp_pattern_images/202.png
203,N#C-C=C,"[#7]#[#6]-,:[#6]=,:[#6]",../data/pubchemfp_pattern_images/203.png
204,C=N-N-C,"[#6]=,:[#7]-,:[#7]-,:[#6]",../data/pubchemfp_pattern_images/204.png
205,O=S-C-N,"[#8]=,:S-,:[#6]-,:[#7]",../data/pubchemfp_pattern_images/205.png
206,S-S-C:C,"S-,:S-,:[#6]:[#6]",../data/pubchemfp_pattern_images/206.png
207,C:C-C=C,"[#6]:[#6]-,:[#6]=,:[#6]",../data/pubchemfp_pattern_images/207.png
208,S:C:C:C,S:[#6]:[#6]:[#6],../data/pubchemfp_pattern_images/208.png
209,C:N:C-C,"[#6]:[#7]:[#6]-,:[#6]",../data/pubchemfp_pattern_images/209.png
210,S-C:N:C,"S-,:[#6]:[#7]:[#6]",../data/pubchemfp_pattern_images/210.png
211,S:C:C:N,S:[#6]:[#6]:[#7],../data/pubchemfp_pattern_images/211.png
212,S-C=N-C,"S-,:[#6]=,:[#7]-,:[#6]",../data/pubchemfp_pattern_images/212.png
213,C-O-C=C,"[#6]-,:[#8]-,:[#6]=,:[#6]",../data/pubchemfp_pattern_images/213.png
214,N-N-C:C,"[#7]-,:[#7]-,:[#6]:[#6]",../data/pubchemfp_pattern_images/214.png
215,S-C=N-[#1],"S-,:[#6]=,:[#7]-,:[#1]",../data/pubchemfp_pattern_images/215.png
216,S-C-S-C,"S-,:[#6]-,:S-,:[#6]",../data/pubchemfp_pattern_images/216.png
217,C:S:C-C,"[#6]:S:[#6]-,:[#6]",../data/pubchemfp_pattern_images/217.png
218,O-S-C:C,"[#8]-,:S-,:[#6]:[#6]",../data/pubchemfp_pattern_images/218.png
219,C:N-C:C,"[#6]:[#7]-,:[#6]:[#6]",../data/pubchemfp_pattern_images/219.png
220,N-S-C:C,"[#7]-,:S-,:[#6]:[#6]",../data/pubchemfp_pattern_images/220.png
221,N-C:N:C,"[#7]-,:[#6]:[#7]:[#6]",../data/pubchemfp_pattern_images/221.png
222,N:C:C:N,[#7]:[#6]:[#6]:[#7],../data/pubchemfp_pattern_images/222.png
223,N-C:N:N,"[#7]-,:[#6]:[#7]:[#7]",../data/pubchemfp_pattern_images/223.png
224,N-C=N-C,"[#7]-,:[#6]=,:[#7]-,:[#6]",../data/pubchemfp_pattern_images/224.png
225,N-C=N-[#1],"[#7]-,:[#6]=,:[#7]-,:[#1]",../data/pubchemfp_pattern_images/225.png
226,N-C-S-C,"[#7]-,:[#6]-,:S-,:[#6]",../data/pubchemfp_pattern_images/226.png
227,C-C-C=C,"[#6]-,:[#6]-,:[#6]=,:[#6]",../data/pubchemfp_pattern_images/227.png
228,C-N:C-[#1],"[#6]-,:[#7]:[#6]-,:[#1]",../data/pubchemfp_pattern_images/228.png
229,N-C:O:C,"[#7]-,:[#6]:[#8]:[#6]",../data/pubchemfp_pattern_images/229.png
230,O=C-C:C,"[#8]=,:[#6]-,:[#6]:[#6]",../data/pubchemfp_pattern_images/230.png
231,O=C-C:N,"[#8]=,:[#6]-,:[#6]:[#7]",../data/pubchemfp_pattern_images/231.png
232,C-N-C:C,"[#6]-,:[#7]-,:[#6]:[#6]",../data/pubchemfp_pattern_images/232.png
233,N:N-C-[#1],"[#7]:[#7]-,:[#6]-,:[#1]",../data/pubchemfp_pattern_images/233.png
234,O-C:C:N,"[#8]-,:[#6]:[#6]:[#7]",../data/pubchemfp_pattern_images/234.png
235,O-C=C-C,"[#8]-,:[#6]=,:[#6]-,:[#6]",../data/pubchemfp_pattern_images/235.png
236,N-C:C:N,"[#7]-,:[#6]:[#6]:[#7]",../data/pubchemfp_pattern_images/236.png
237,C-S-C:C,"[#6]-,:S-,:[#6]:[#6]",../data/pubchemfp_pattern_images/237.png
238,Cl-C:C-C,"[#17]-,:[#6]:[#6]-,:[#6]",../data/pubchemfp_pattern_images/238.png
239,N-C=C-[#1],"[#7]-,:[#6]=,:[#6]-,:[#1]",../data/pubchemfp_pattern_images/239.png
240,Cl-C:C-[#1],"[#17]-,:[#6]:[#6]-,:[#1]",../data/pubchemfp_pattern_images/240.png
241,N:C:N-C,"[#7]:[#6]:[#7]-,:[#6]",../data/pubchemfp_pattern_images/241.png
242,Cl-C:C-O,"[#17]-,:[#6]:[#6]-,:[#8]",../data/pubchemfp_pattern_images/242.png
243,C-C:N:C,"[#6]-,:[#6]:[#7]:[#6]",../data/pubchemfp_pattern_images/243.png
244,C-C-S-C,"[#6]-,:[#6]-,:S-,:[#6]",../data/pubchemfp_pattern_images/244.png
245,S=C-N-C,"S=,:[#6]-,:[#7]-,:[#6]",../data/pubchemfp_pattern_images/245.png
246,Br-C:C-C,"[#35]-,:[#6]:[#6]-,:[#6]",../data/pubchemfp_pattern_images/246.png
247,[#1]-N-N-[#1],"[#1]-,:[#7]-,:[#7]-,:[#1]",../data/pubchemfp_pattern_images/247.png
248,S=C-N-[#1],"S=,:[#6]-,:[#7]-,:[#1]",../data/pubchemfp_pattern_images/248.png
249,C-[As]-O-[#1],"[#6]-,:[#33]-,:[#8]-,:[#1]",../data/pubchemfp_pattern_images/249.png
250,S:C:C-[#1],"S:[#6]:[#6]-,:[#1]",../data/pubchemfp_pattern_images/250.png
251,O-N-C-C,"[#8]-,:[#7]-,:[#6]-,:[#6]",../data/pubchemfp_pattern_images/251.png
252,N-N-C-C,"[#7]-,:[#7]-,:[#6]-,:[#6]",../data/pubchemfp_pattern_images/252.png
253,[#1]-C=C-[#1],"[#1]-,:[#6]=,:[#6]-,:[#1]",../data/pubchemfp_pattern_images/253.png
254,N-N-C-N,"[#7]-,:[#7]-,:[#6]-,:[#7]",../data/pubchemfp_pattern_images/254.png
255,O=C-N-N,"[#8]=,:[#6]-,:[#7]-,:[#7]",../data/pubchemfp_pattern_images/255.png
256,N=C-N-C,"[#7]=,:[#6]-,:[#7]-,:[#6]",../data/pubchemfp_pattern_images/256.png
257,C=C-C:C,"[#6]=,:[#6]-,:[#6]:[#6]",../data/pubchemfp_pattern_images/257.png
258,C:N-C-[#1],"[#6]:[#7]-,:[#6]-,:[#1]",../data/pubchemfp_pattern_images/258.png
259,C-N-N-[#1],"[#6]-,:[#7]-,:[#7]-,:[#1]",../data/pubchemfp_pattern_images/259.png
260,N:C:C-C,"[#7]:[#6]:[#6]-,:[#6]",../data/pubchemfp_pattern_images/260.png
261,C-C=C-C,"[#6]-,:[#6]=,:[#6]-,:[#6]",../data/pubchemfp_pattern_images/261.png
262,[As]-C:C-[#1],"[#33]-,:[#6]:[#6]-,:[#1]",../data/pubchemfp_pattern_images/262.png
263,Cl-C:C-Cl,"[#17]-,:[#6]:[#6]-,:[#17]",../data/pubchemfp_pattern_images/263.png
264,C:C:N-[#1],"[#6]:[#6]:[#7]-,:[#1]",../data/pubchemfp_pattern_images/264.png
265,[#1]-N-C-[#1],"[#1]-,:[#7]-,:[#6]-,:[#1]",../data/pubchemfp_pattern_images/265.png
266,Cl-C-C-Cl,"[#17]-,:[#6]-,:[#6]-,:[#17]",../data/pubchemfp_pattern_images/266.png
267,N:C-C:C,"[#7]:[#6]-,:[#6]:[#6]",../data/pubchemfp_pattern_images/267.png
268,S-C:C-C,"S-,:[#6]:[#6]-,:[#6]",../data/pubchemfp_pattern_images/268.png
269,S-C:C-[#1],"S-,:[#6]:[#6]-,:[#1]",../data/pubchemfp_pattern_images/269.png
270,S-C:C-N,"S-,:[#6]:[#6]-,:[#7]",../data/pubchemfp_pattern_images/270.png
271,S-C:C-O,"S-,:[#6]:[#6]-,:[#8]",../data/pubchemfp_pattern_images/271.png
272,O=C-C-C,"[#8]=,:[#6]-,:[#6]-,:[#6]",../data/pubchemfp_pattern_images/272.png
273,O=C-C-N,"[#8]=,:[#6]-,:[#6]-,:[#7]",../data/pubchemfp_pattern_images/273.png
274,O=C-C-O,"[#8]=,:[#6]-,:[#6]-,:[#8]",../data/pubchemfp_pattern_images/274.png
275,N=C-C-C,"[#7]=,:[#6]-,:[#6]-,:[#6]",../data/pubchemfp_pattern_images/275.png
276,N=C-C-[#1],"[#7]=,:[#6]-,:[#6]-,:[#1]",../data/pubchemfp_pattern_images/276.png
277,C-N-C-[#1],"[#6]-,:[#7]-,:[#6]-,:[#1]",../data/pubchemfp_pattern_images/277.png
278,O-C:C-C,"[#8]-,:[#6]:[#6]-,:[#6]",../data/pubchemfp_pattern_images/278.png
279,O-C:C-[#1],"[#8]-,:[#6]:[#6]-,:[#1]",../data/pubchemfp_pattern_images/279.png
280,O-C:C-N,"[#8]-,:[#6]:[#6]-,:[#7]",../data/pubchemfp_pattern_images/280.png
281,O-C:C-O,"[#8]-,:[#6]:[#6]-,:[#8]",../data/pubchemfp_pattern_images/281.png
282,N-C:C-C,"[#7]-,:[#6]:[#6]-,:[#6]",../data/pubchemfp_pattern_images/282.png
283,N-C:C-[#1],"[#7]-,:[#6]:[#6]-,:[#1]",../data/pubchemfp_pattern_images/283.png
284,N-C:C-N,"[#7]-,:[#6]:[#6]-,:[#7]",../data/pubchemfp_pattern_images/284.png
285,O-C-C:C,"[#8]-,:[#6]-,:[#6]:[#6]",../data/pubchemfp_pattern_images/285.png
286,N-C-C:C,"[#7]-,:[#6]-,:[#6]:[#6]",../data/pubchemfp_pattern_images/286.png
287,Cl-C-C-C,"[#17]-,:[#6]-,:[#6]-,:[#6]",../data/pubchemfp_pattern_images/287.png
288,Cl-C-C-O,"[#17]-,:[#6]-,:[#6]-,:[#8]",../data/pubchemfp_pattern_images/288.png
289,C:C-C:C,"[#6]:[#6]-,:[#6]:[#6]",../data/pubchemfp_pattern_images/289.png
290,O=C-C=C,"[#8]=,:[#6]-,:[#6]=,:[#6]",../data/pubchemfp_pattern_images/290.png
291,Br-C-C-C,"[#35]-,:[#6]-,:[#6]-,:[#6]",../data/pubchemfp_pattern_images/291.png
292,N=C-C=C,"[#7]=,:[#6]-,:[#6]=,:[#6]",../data/pubchemfp_pattern_images/292.png
293,C=C-C-C,"[#6]=,:[#6]-,:[#6]-,:[#6]",../data/pubchemfp_pattern_images/293.png
294,N:C-O-[#1],"[#7]:[#6]-,:[#8]-,:[#1]",../data/pubchemfp_pattern_images/294.png
295,O=N-C:C,"[#8]=,:[#7]-,:[#6]:[#6]",../data/pubchemfp_pattern_images/295.png
296,O-C-N-[#1],"[#8]-,:[#6]-,:[#7]-,:[#1]",../data/pubchemfp_pattern_images/296.png
297,N-C-N-C,"[#7]-,:[#6]-,:[#7]-,:[#6]",../data/pubchemfp_pattern_images/297.png
298,Cl-C-C=O,"[#17]-,:[#6]-,:[#6]=,:[#8]",../data/pubchemfp_pattern_images/298.png
299,Br-C-C=O,"[#35]-,:[#6]-,:[#6]=,:[#8]",../data/pubchemfp_pattern_images/299.png
300,O-C-O-C,"[#8]-,:[#6]-,:[#8]-,:[#6]",../data/pubchemfp_pattern_images/300.png
301,C=C-C=C,"[#6]=,:[#6]-,:[#6]=,:[#6]",../data/pubchemfp_pattern_images/301.png
302,C:C-O-C,"[#6]:[#6]-,:[#8]-,:[#6]",../data/pubchemfp_pattern_images/302.png
303,O-C-C-N,"[#8]-,:[#6]-,:[#6]-,:[#7]",../data/pubchemfp_pattern_images/303.png
304,O-C-C-O,"[#8]-,:[#6]-,:[#6]-,:[#8]",../data/pubchemfp_pattern_images/304.png
